name,local authority,longitude,latitude,status,current,proposed
FELTHAM POLICE STATION,HOUNSLOW,-0.4038563,51.4466045,cut,DAY TIME,CLOSED
BRENTFORD POLICE STATION,HOUNSLOW,-0.3063283,51.4839512,cut,DAY TIME,CLOSED
ISLINGTON POLICE STATION,ISLINGTON,-0.110892911,51.53381153,keep,24HR,24HR
HOLLOWAY POLICE STATION,ISLINGTON,-0.1168117,51.562157,keep,24HR,DAY TIME
NOTTING HILL POLICE STATION,KENSINGTON & CHELSEA,-0.203166118,51.5086659,keep,24HR,24HR
CHELSEA POLICE STATION,KENSINGTON & CHELSEA,-0.166556,51.49205,cut,24HR,CLOSED
KENSINGTON POLICE STATION,KENSINGTON & CHELSEA,-0.197919317,51.49733374,keep,24HR,DAY TIME
KINGSTON POLICE STATION,KINGSTON UPON THAMES,-0.306854494,51.40818536,keep,24HR,24HR
C I TOWER GROUND FLOOR PART,KINGSTON UPON THAMES,-0.256104,51.40365,keep,VOLUNTEER,DAY TIME
MILLBANK HOUSE GROUND FLOOR NORTH,KINGSTON UPON THAMES,-0.298027,51.390343,cut,DAY TIME,CLOSED
BRIXTON POLICE STATION,LAMBETH,-0.1138672,51.4656262,keep,24HR,24HR
CAVENDISH ROAD POLICE STATION,LAMBETH,-0.1424837,51.4526479,cut,DAY TIME,CLOSED
KENNINGTON POLICE STATION,LAMBETH,-0.11159599,51.49740234,keep,24HR,DAY TIME
CLAPHAM POLICE STATION,LAMBETH,-0.132996,51.471396,cut,DAY TIME,CLOSED
GIPSY HILL POLICE STATION,LAMBETH,-0.083701,51.419764,cut,DAY TIME,CLOSED
STREATHAM POLICE STATION,LAMBETH,-0.1296296,51.430343,keep,24HR,DAY TIME
LEWISHAM POLICE STATION,LEWISHAM,-0.0166125,51.4566193,keep,24HR,24HR
DEPTFORD POLICE STATION,LEWISHAM,-0.031126595,51.47669303,keep,24HR,DAY TIME
BROCKLEY POLICE STATION,LEWISHAM,-0.037623,51.46062,cut,VOLUNTEER,CLOSED
CATFORD POLICE STATION,LEWISHAM,-0.01457313,51.430764,keep,24HR,DAY TIME
SYDENHAM POLICE STATION,LEWISHAM,-0.0585644,51.4328754,cut,DAY TIME,CLOSED
WIMBLEDON POLICE STATION,MERTON,-0.2032386,51.4212881,keep,24HR,24HR
MITCHAM POLICE STATION,MERTON,-0.1657068,51.3995997,keep,24HR,DAY TIME
MORDEN POLICE OFFICE 3 CROWN PARADE,MERTON,-0.196539617,51.40133877,cut,DAY TIME,CLOSED
TOOTING POLICE STATION & FORMER SECTION HOUSE,MERTON,-0.160198,51.421307,cut,DAY TIME,CLOSED
FOREST GATE POLICE STATION,NEWHAM,0.030750977,51.54652557,keep,24HR,24HR
PLAISTOW POLICE STATION,NEWHAM,0.0259973,51.523872,keep,24HR,DAY TIME
EAST HAM POLICE STATION & FORMER SECTION HOUSE,NEWHAM,0.0544602,51.5326816,keep,DAY TIME,DAY TIME
NORTH WOOLWICH POLICE STATION,NEWHAM,0.0645859,51.5002548,cut,DAY TIME,CLOSED
STRATFORD POLICE STATION,NEWHAM,0.003817456,51.53907575,cut,DAY TIME,CLOSED
ILFORD POLICE STATION (NEW),REDBRIDGE,0.080628894,51.5603269,keep,24HR,24HR
BARKINGSIDE POLICE STATION,REDBRIDGE,0.0809885,51.5884231,keep,24HR,DAY TIME
WANSTEAD POLICE STATION,REDBRIDGE,0.02333686,51.57652374,cut,DAY TIME,CLOSED
WOODFORD POLICE STATION,REDBRIDGE,0.0228722,51.6118361,cut,DAY TIME,CLOSED
"SOVEREIGN GATE, RICHMOND",RICHMOND UPON THAMES,-0.300631911,51.46407728,keep,DAY TIME,DAY TIME
TWICKENHAM POLICE STATION,RICHMOND UPON THAMES,-0.3293218,51.4483016,keep,24HR,24HR
TEDDINGTON POLICE STATION,RICHMOND UPON THAMES,-0.3345579,51.4250311,keep,VOLUNTEER,DAY TIME
PECKHAM POLICE STATION,SOUTHWARK,-0.0648239,51.4743018,keep,24HR,24HR
SOUTHWARK POLICE STATION,SOUTHWARK,-0.0977801,51.4986504,keep,24HR,DAY TIME
WALWORTH POLICE STATION,SOUTHWARK,-0.097533939,51.489339,keep,24HR,DAY TIME
CAMBERWELL POLICE STATION,SOUTHWARK,-0.091141825,51.47347028,cut,VOLUNTEER,CLOSED
EAST DULWICH POLICE STATION (NEW),SOUTHWARK,-0.076731,51.454919,cut,DAY TIME,CLOSED
ROTHERHITHE POLICE STATION,SOUTHWARK,-0.0515833,51.4953633,cut,DAY TIME,CLOSED
SUTTON POLICE STATION,SUTTON,-0.190874,51.3616926,keep,24HR,24HR
CROSSPOINT HOUSE PART GND & FIRST FLOORS,SUTTON,-0.146516106,51.35838128,cut,DAY TIME,CLOSED
WORCESTER PARK POLICE OFFICE,SUTTON,-0.242965,51.379473,keep,VOLUNTEER,DAY TIME
BETHNAL GREEN POLICE STATION,TOWER HAMLETS,-0.0511502,51.5279641,keep,24HR,24HR
BOW POLICE STATION,TOWER HAMLETS,-0.0190972,51.5279651,cut,DAY TIME,CLOSED
BRICK LANE POLICE OFFICE,TOWER HAMLETS,-0.071964954,51.51482367,keep,DAY TIME,DAY TIME
ISLE OF DOGS POLICE STATION,TOWER HAMLETS,-0.037675731,51.5198059,cut,DAY TIME,CLOSED
LIMEHOUSE POLICE STATION & FORMER SECTION HOUSE,TOWER HAMLETS,-0.0271361,51.5110068,keep,24HR,DAY TIME
POPLAR POLICE OFFICE,TOWER HAMLETS,-0.015202705,51.51279559,cut,DAY TIME,CLOSED
WALTHAM HOUSE,WALTHAM FOREST,0.010029019,51.56985623,cut,DAY TIME,CLOSED
WALTHAMSTOW TOWN CENTRE OFFICE SNU,WALTHAM FOREST,-0.02690875,51.5832019,cut,DAY TIME,CLOSED
CHINGFORD POLICE STATION,WALTHAM FOREST,-0.0013675,51.6317501,keep,24HR,24HR
WALTHAMSTOW POLICE STATION,WALTHAM FOREST,-0.0256657,51.5898103,cut,DAY TIME,CLOSED
LEYTON POLICE STATION,WALTHAM FOREST,-0.0075263,51.5652535,cut,DAY TIME,CLOSED
JUBILEE HOUSE PUTNEY,WANDSWORTH,-0.214006,51.464790,cut,TEMPORARY,CLOSED
WANDSWORTH POLICE STATION,WANDSWORTH,-0.1995542,51.4569455,keep,24HR,DAY TIME
BATTERSEA POLICE STATION,WANDSWORTH,-0.1685205,51.4767536,cut,24HR,CLOSED
LAVENDER HILL POLICE STATION,WANDSWORTH,-0.1620077,51.4645777,keep,DAY TIME,24HR
CHARING CROSS POLICE STATION,WESTMINSTER,-0.124900879,51.50969442,keep,24HR,24HR
PADDINGTON GREEN POLICE STATION,WESTMINSTER,-0.171734362,51.52027571,keep,24HR,DAY TIME
WEST END CENTRAL POLICE STATION,WESTMINSTER,-0.141344531,51.51142552,keep,24HR,24HR
BELGRAVIA POLICE STATION,WESTMINSTER,-0.1492384,51.4916756,keep,24HR,DAY TIME
HARROW ROAD POLICE STATION,WESTMINSTER,-0.1992306,51.5236295,cut,24HR,CLOSED
ST JOHN'S WOOD POLICE STATION & FORMER SECTION HOUSE,WESTMINSTER,-0.167732017,51.53292868,cut,DAY TIME,CLOSED
MARYLEBONE POLICE STATION & FORMER SECTION HOUSE,WESTMINSTER,-0.15911515,51.51457082,cut,24HR,CLOSED
